Date,AAPL.O,MSFT.O,INTC.O,AMZN.O,GS.N,SPY,.SPX,.VIX,EUR=,XAU=,GDX,GLD,BTC=
2012-04-02,22.093906477500003,32.29,28.38,198.05,124.9,141.84,1419.04,15.64,1.3321,1677.25,50.39,162.94,
2012-04-03,22.475691810000004,31.94,28.11,199.66,122.71,141.26,1413.38,15.66,1.3233,1644.83,48.752,159.89,
2012-04-04,22.2967634175,31.21,27.93,193.99,119.96,139.86,1398.96,16.44,1.3141,1619.73,46.705,157.21,
2012-04-05,22.63140594,31.52,28.07,194.39,118.0,139.79,1398.08,16.7,1.3063,1630.64,46.2,158.31,
2012-04-06,,,,,,,,,1.3094,1637.99,,,
2012-04-09,22.7224772775,31.1,27.76,191.87,117.02,138.22,1382.2,18.81,1.31,1640.78,46.48,159.37,
2012-04-10,22.444263270000004,30.47,27.45,186.98,114.56,135.9,1358.59,20.39,1.308,1659.85,47.0391,161.1,
2012-04-11,22.364263350000005,30.345,27.85,187.97,115.93,137.0,1368.71,20.02,1.3109,1657.45,46.495,161.065,
2012-04-12,22.2417634725,30.975,28.48,190.69,120.39,138.79,1387.57,17.2,1.3185,1674.98,48.155,162.7,
2012-04-13,21.6153355275,30.81,28.09,188.46,115.09,137.14,1370.26,19.55,1.3075,1658.39,47.5,160.85,
2012-04-16,20.718907852500003,31.075,28.405,185.5,117.73,137.05,1369.57,19.55,1.3138,1651.6,46.64,160.46,
2012-04-17,21.774978225,31.44,28.47,188.39,116.86,139.082,1390.78,18.46,1.3123,1649.29,47.13,160.27,
2012-04-18,21.726406845000003,31.14,27.95,191.07,115.33,138.61,1385.14,18.64,1.312,1640.07,46.63,159.31,
2012-04-19,20.979979020000005,31.01,27.69,191.1,113.6,137.72,1376.92,18.36,1.3134,1641.6,46.61,159.43,
2012-04-20,20.463550965000003,32.42,27.6,189.98,112.44,137.95,1378.53,17.44,1.3221,1642.09,46.12,159.54,
